geoname_id,ascii_name,feature_cla,feature_cod,country_cod,cou_name_en,country_cod_1,admin1_code,admin2_code,admin3_code,admin4_code,population,elevation,dem,timezone,modificatio,label_en
1136604,Khudaydad Khel,P,PPLA2,AF,Afghanistan,,5,2807,,,0,,2030,Asia/Kabul,2018/2/17,Afghanistan
1139967,Hukumat-e Shinkai,P,PPLA2,AF,Afghanistan,,28,2507,,,0,,1936,Asia/Kabul,2020/6/9,Afghanistan
1140605,Guzarah,P,PPLA2,AF,Afghanistan,,11,2003,,,0,,983,Asia/Kabul,2018/2/17,Afghanistan
1143901,Markaz-e Hukumat-e Darweshan,P,PPL,AF,Afghanistan,,10,2311,,,9012,,714,Asia/Kabul,2018/2/17,Afghanistan
1147489,Baharak,P,PPLA2,AF,Afghanistan,,1,1108,,,0,,1552,Asia/Kabul,2020/6/9,Afghanistan
1349845,Zargaran,P,PPLA2,AF,Afghanistan,,13,115,,,0,,1935,Asia/Kabul,2020/6/11,Afghanistan
1120711,Zindah Jan,P,PPLA2,AF,Afghanistan,,11,2010,,,10104,,834,Asia/Kabul,2018/2/17,Afghanistan
1134724,Lash-e Juwayn,P,PPLA2,AF,Afghanistan,,6,2109,,,0,,513,Asia/Kabul,2020/6/9,Afghanistan
1140026,Herat,P,PPLA,AF,Afghanistan,,11,2001,,,574300,,927,Asia/Kabul,2022/6/18,Afghanistan
1140970,Ghoriyan,P,PPLA2,AF,Afghanistan,,11,2009,,,0,,796,Asia/Kabul,2020/6/9,Afghanistan
1142738,Doshi,P,PPLA2,AF,Afghanistan,,3,1304,,,0,,836,Asia/Kabul,2020/6/9,Afghanistan
1142758,Dowlatyar,P,PPLA2,AF,Afghanistan,,9,2709,,,0,,2456,Asia/Kabul,2018/2/17,Afghanistan
1142761,Dowlat Shah,P,PPLA2,AF,Afghanistan,,35,904,,,0,,1551,Asia/Kabul,2020/6/9,Afghanistan
1149049,'Alaqahdari Yosuf Khel,P,PPLA2,AF,Afghanistan,,29,2919,,,0,,2239,Asia/Kabul,2018/2/17,Afghanistan
1349969,Pul-e Sangi,P,PPLA2,AF,Afghanistan,,13,102,,,0,,1776,Asia/Kabul,2020/6/11,Afghanistan
1474140,Manogay,P,PPLA2,AF,Afghanistan,,34,1010,,,0,,1042,Asia/Kabul,2020/7/10,Afghanistan
1121045,Zamto Kelay,P,PPLA2,AF,Afghanistan,,23,2414,,,0,,1925,Asia/Kabul,2020/6/9,Afghanistan
1122402,Titan,P,PPLA2,AF,Afghanistan,,9,2704,,,0,,2194,Asia/Kabul,2018/2/17,Afghanistan
1123963,Sozmah Qal'ah,P,PPLA2,AF,Afghanistan,,33,3105,,,0,,870,Asia/Kabul,2020/6/9,Afghanistan
1129932,Qal'ah-ye Kuhnah,P,PPLA2,AF,Afghanistan,,6,2103,,,0,,1429,Asia/Kabul,2018/2/17,Afghanistan
1131625,Nurgal,P,PPLA2,AF,Afghanistan,,34,1013,,,0,,679,Asia/Kabul,2018/2/17,Afghanistan
1132465,Nikeh,P,PPLA2,AF,Afghanistan,,29,2913,,,0,,2488,Asia/Kabul,2020/6/9,Afghanistan
1132495,Nahrin,P,PPLA2,AF,Afghanistan,,3,1309,,,22363,,1138,Asia/Kabul,2020/6/9,Afghanistan
1133105,Muhammad Aghah Wuluswali,P,PPLA2,AF,Afghanistan,,17,505,,,0,,1853,Asia/Kabul,2018/2/17,Afghanistan
1138336,Kandahar,P,PPLA,AF,Afghanistan,,23,2401,,,523300,,1007,Asia/Kabul,2022/6/18,Afghanistan
1140919,'Alaqahdari Gelan,P,PPLA2,AF,Afghanistan,,8,609,,,0,,1987,Asia/Kabul,2020/6/9,Afghanistan
1142776,Dowlatabad,P,PPLA2,AF,Afghanistan,,30,1605,,,0,,312,Asia/Kabul,2020/6/9,Afghanistan
1143255,De Narkhel Kelay,P,PPLA2,AF,Afghanistan,,23,2415,,,0,,1478,Asia/Kabul,2018/2/17,Afghanistan
1145799,Chahar Qal'ah,P,PPLA2,AF,Afghanistan,,8,619,,,0,,2376,Asia/Kabul,2020/6/9,Afghanistan
1349709,Qarah Bagh Bazar,P,PPLA2,AF,Afghanistan,,13,105,,,0,,1531,Asia/Kabul,2020/6/11,Afghanistan
1435007,Ziruk `Alaqahdari,P,PPLA2,AF,Afghanistan,,29,2912,,,0,,2336,Asia/Kabul,2020/7/10,Afghanistan
1120483,Kuhsan,P,PPLA2,AF,Afghanistan,,11,2008,,,12087,,740,Asia/Kabul,2020/6/9,Afghanistan
1120616,Zaybak,P,PPLA2,AF,Afghanistan,,1,1105,,,0,,2616,Asia/Kabul,2018/2/17,Afghanistan
1121855,Washer,P,PPLA2,AF,Afghanistan,,10,2307,,,0,,1175,Asia/Kabul,2018/2/17,Afghanistan
1126266,Sayad,P,PPLA2,AF,Afghanistan,,33,3106,,,0,,946,Asia/Kabul,2020/6/9,Afghanistan
1126796,Sar-e Tayghan,P,PPLA2,AF,Afghanistan,,41,3406,,,0,,1423,Asia/Kabul,2018/2/17,Afghanistan
1129928,Qal'ah-ye Kuf,P,PPLA2,AF,Afghanistan,,1,1120,,,0,,1383,Asia/Kabul,2020/6/9,Afghanistan
1131045,Pasaband,P,PPLA2,AF,Afghanistan,,9,2706,,,0,,2468,Asia/Kabul,2020/6/9,Afghanistan
1138657,Kalafgan,P,PPLA2,AF,Afghanistan,,26,1207,,,0,,1590,Asia/Kabul,2018/2/17,Afghanistan
1139085,Jurm,P,PPLA2,AF,Afghanistan,,1,1103,,,12106,,1564,Asia/Kabul,2018/2/17,Afghanistan
1141540,Gereshk,P,PPLA2,AF,Afghanistan,,10,2302,,,43588,,830,Asia/Kabul,2018/2/17,Afghanistan
1147118,Banu,P,PPLA2,AF,Afghanistan,,3,1307,,,0,,1510,Asia/Kabul,2020/6/9,Afghanistan
1148695,'Unabah,P,PPLA2,AF,Afghanistan,,42,3306,,,0,,1770,Asia/Kabul,2020/6/9,Afghanistan
1423451,Ibrahim Khan,P,PPLA2,AF,Afghanistan,,40,310,,,0,,1491,Asia/Kabul,2020/6/11,Afghanistan
1437517,Khayr Kot,P,PPLA2,AF,Afghanistan,,29,2902,,,0,,2126,Asia/Kabul,2020/6/11,Afghanistan
1455430,Dahan-e Jarf,P,PPLA2,AF,Afghanistan,,40,306,,,0,,2306,Asia/Kabul,2018/2/17,Afghanistan
1131833,Nili,P,PPLA,AF,Afghanistan,,41,3401,,,0,2022,2069,Asia/Kabul,2018/2/17,Afghanistan
1132127,Now Dahanak,P,PPLA2,AF,Afghanistan,,42,3304,,,0,,2629,Asia/Kabul,2020/6/9,Afghanistan
1132807,Muqer,P,PPLA2,AF,Afghanistan,,8,608,,,0,,2000,Asia/Kabul,2020/6/9,Afghanistan
